"","H9.1","H9.2","H9.3","OB.1","OB.2","OB.3","WT.1","WT.2","WT.3"
"Ces2a",11.2213253745778,11.6358127821261,11.5939739654232,10.1259201881271,10.2481057163422,10.6680725522964,11.4078043623098,10.9730426819447,11.2490603531818
"Rdh9",9.8018164896978,9.05833902242517,8.60745519320673,10.7443225756642,10.7285256791137,11.2709350154263,9.866173877362,10.3033861707152,10.5646992893132
"Slc22a7",8.36437893869605,7.78209653883947,7.89595319284828,9.1120739358426,9.14940381984932,9.23158210491306,8.50611745626274,8.27842082347328,8.4814734254596
"Adrb3",5.17171332387178,4.20099463293838,4.19240612648975,5.90277419209712,6.17043151536668,6.13302686250137,5.67931369348648,5.33500457681063,5.7977999071797
"Aplp2",6.71674934494932,6.17073823661272,6.86937690137118,4.90843050304981,5.94288188290563,5.18204354644477,6.67900107210666,5.54517061628552,6.16257712140797
"Apoa4",10.5865888942049,9.94143384161215,10.4539106723705,11.2465753958329,11.4193628569756,11.2244869642878,10.3447753747864,9.72937750360917,10.204597463981
"Ar",6.74785267587783,5.37408845136127,6.34418492156002,4.67107807344993,4.92638169457155,5.03009779116768,5.94311190553493,6.14864463663777,5.24845740789977
"Arntl",7.69932021018275,6.74873310568402,7.95930206022459,6.3634364583236,6.19321453142379,5.5868296649382,7.72026529733731,6.53776844369601,7.30239394335883
"Noct",8.03211068194259,7.46323870623161,7.85034027987232,8.2385604314616,9.10216552414282,9.30433705936185,6.83513533878684,8.03104163359104,7.43727187128521
"Cd36",8.85844580269058,9.16328451802593,8.86437409291292,7.44955564048837,7.43101986331173,7.19594445023532,7.4245803919958,8.0091647125088,7.94373843108388
"Celsr1",6.72063378513795,7.33896691894304,7.51499281870202,5.62456128877588,6.45870810743342,5.81443598342944,6.65056312928227,6.67903350287261,6.35425381626313
"Cyb561",5.39291917263455,6.5273792542883,5.52844153412773,4.35870650004987,4.68131806015854,4.72422298512569,4.99190190386265,4.9426085043146,4.93597114742616
"Cyp2b10",9.39502787149181,8.6423300322621,9.32119595814634,5.1760250714384,5.88784994681436,5.49264548511039,9.00922540348923,9.03935181042368,9.25648062610316
"Cyp4a14",12.5617052247999,12.1494963389314,12.0812961880001,11.2096427675905,11.5190350317012,10.4689684869509,11.9965203203314,11.6793918220086,12.4205446941758
"Cyp7a1",9.68877361565412,8.85703313626498,8.79143231076396,9.96773890567791,10.2392795615296,10.5622629647936,10.502853208158,10.746005872117,10.0590198838786
"Dbp",5.30133772076904,6.88154736320746,5.03781969839711,8.17530093897372,8.10849119974019,9.69945807442802,5.34292537422232,7.33981481577608,5.70719264455498
"Dnase2a",9.07592282931876,8.1414491814565,8.60576500275643,7.40024512564614,7.23135051972493,7.44346039960757,9.72151349138628,9.55739439890282,8.79274106292537
"Ephx1",10.8572885532044,10.7691077978004,11.0133304775513,9.97380796106301,10.1591184644133,10.0326296420781,11.4080527251579,11.1088963169533,10.6694304159085
"Fmo1",10.699606788845,8.17617657977947,8.42453916555968,11.2658292462802,11.6421114165668,11.39228968755,11.6560371600027,11.4786232395014,11.6547193621687
"Hmox1",5.66989857376023,6.19900427013431,5.92051632330023,6.72141460414471,6.87478140255703,6.48881644010951,5.84445780648899,5.65869903883542,5.52810710815929
"Foxa3",8.58175525805929,8.41150632905602,7.64820735461807,9.8500375049133,9.27440688315659,9.29903864085662,9.46175085014725,9.1438632521376,8.87943277108578
"Hsd3b2",6.79849506333259,6.58122249978465,7.20372095225167,7.44035588483181,7.6146191085023,7.67127310709879,7.93897461365896,7.83600741894957,7.85155899812594
"Hsd3b5",4.15205620070226,4.83224606591489,4.5909298930101,6.39157626503092,6.820610461714,7.50849637393884,9.52578042890303,8.23478664180723,6.69684954414749
"Hspb1",9.18602995869752,9.25170405147558,9.08177341161186,8.3807199908121,8.16828679304882,7.25220797129723,9.24639587977081,8.69755390038273,7.95302833236042
"Jun",6.79600627391231,6.11001595676308,6.86336256314651,8.72995365049107,8.65189830394634,8.35349665752486,6.00048523773419,5.82435416412382,6.2588408009876
"Mafb",8.11367876542941,7.57862967780608,7.99556345180562,8.65363914947381,9.12816993833215,9.15384118395925,7.81960698230922,7.373990229348,7.90377451526125
"Cnmd",6.66505249949741,7.32065070909618,5.97906745799331,5.53756409082647,5.2909464984983,5.78794061748958,6.63487110669354,6.9876666750699,6.51429613047719
"Lect2",10.9530423313833,9.63367355074611,10.2759775116963,11.5651548103708,11.3722371956972,11.4088129023685,10.9220850701023,10.8977007222127,10.9637908812647
"Marco",6.90487046406721,6.61011231422444,6.49368728156819,7.34806815358396,7.15475266502522,6.9479876593909,5.91805179784115,6.49111041334131,6.01264415443242
"Mt2",8.9906378016368,11.1754457863719,9.73737763274042,7.94977649357354,8.1493635029804,7.57771458970956,9.12512910273454,9.16036746068456,10.8572385914514
