"","H9.1","H9.2","H9.3","OB.1","OB.2","OB.3","WT.1","WT.2","WT.3"
"1432414_at",3.81254305354748,3.46420667136936,3.55888471343321,3.64533814662757,3.33173237986883,3.35096820889865,3.74948661032111,3.92808809230262,3.49547565907605
"1426168_a_at",2.66338851205228,2.66962436615723,2.6205559896409,3.34391098786291,3.06236819372234,2.96613816663194,2.81264818017992,3.04728223779513,2.93539032191308
"1419528_at",12.4543229009188,12.0355953864495,12.5655464646073,12.1840554946226,12.260820431238,12.2303140310972,9.12882167571244,12.3062413159862,12.6579265502136
"1426987_at",6.47754552469945,6.66084854865678,6.49041636025268,6.1049288445963,6.34056587082295,6.23128668307668,6.56170032315871,6.677144227967,6.57512500861877
"1424607_a_at",9.32472904836665,9.3838657266217,9.46679490997463,10.111674889129,9.35485023588619,9.74549610390951,8.74301990283945,8.97412039572921,8.8080833568042
"1429560_at",5.68892401636564,5.28595625106968,5.57223004850674,5.81555816456123,5.47423019321219,5.34235712641721,5.66734070441545,5.47616774534127,5.57223004850674
"1427822_a_at",3.89439628204155,4.05290065916457,4.1280593284671,4.07194246176864,3.95025444868749,3.73552587786758,4.10748573854654,3.95025444868749,3.74882122342987
"1416106_at",8.01321021727059,7.89185508517218,7.82396541812042,7.58563151914986,7.8308446512346,7.73025017905986,8.05918470112229,8.16332554936002,8.04543729354222
"1432181_s_at",9.60751084813878,9.62574815590448,9.74407641267148,8.95564647183789,8.94442826919639,8.84405065641752,9.11849074227373,8.40531970407431,9.3454290923462
"1452145_at",10.4843970531726,10.7185184571231,10.1399212726496,9.99291998484571,10.3335038181811,10.2921897100242,10.498955424879,10.2200011639324,10.4810315746744
"1448936_at",8.28249947452414,8.3571770532281,7.87939330368208,8.08108022734229,8.36240857595668,8.28249947452414,8.00813205390206,8.38906662442634,8.3571770532281
"1439283_at",5.78948892237032,5.87499888737344,5.67387230642209,6.16334665920863,5.94132291273806,6.2236889859559,5.66286134935104,6.17289039868508,5.87499888737344
"1433645_at",9.20304831956065,9.44744765501141,9.24401854795634,8.74842682575992,8.99807732754129,8.98955538542249,9.15374150762571,9.58917126001946,9.3404613219462
"1415941_s_at",5.19577325275421,4.75395438134791,5.2191276273458,4.84323983273175,5.19577325275421,5.18079890770293,5.26192326446239,5.51350073006885,5.08255869889821
"1437885_at",6.78359988166666,6.48773723418628,6.55660872316429,5.62180304149977,6.24455900393145,6.07051023685642,6.57504311861793,6.71148534246729,6.61603618939578
"1427167_at",3.91616490322111,5.91506141691577,4.54345416044672,3.97353508409542,4.05808418958737,3.97353508409542,4.0306447028539,4.32091297220283,4.26459547665506
"1423666_s_at",7.4913367099589,7.70135941058764,7.78709210740809,7.80656218289577,7.32819994840221,7.23134960512512,7.91729566131704,7.94079917930673,7.97931006552094
"1453207_at",9.09545379967672,9.03884914964946,9.1606886646241,9.82606488726604,8.9237783953969,8.95195767557649,9.31721002605843,9.39831467803632,8.96599799298253
"1452418_at",8.66057942270241,8.81248858928405,8.46689219600804,8.92833536309635,8.65369241723971,8.39583967742186,8.61063681057748,7.61592906531948,8.26740769596805
"1420342_at",6.58271425720356,6.80012184175413,6.63644148436706,7.32512427628348,6.85653519987529,7.55075545310502,6.65136623748919,7.16880412026019,6.59075153374852
"1436357_at",7.41702286230954,6.9683191734032,6.91556963934681,7.06902897206979,6.88186565773921,7.11222952057641,7.19003726625874,7.43092455156616,7.32639931580427
"1427243_at",8.01461560140984,8.23084641678506,7.9912408015695,8.66808546095174,8.5232536954563,8.5749902784265,8.03091137906019,8.35191618451717,8.26069799867243
"1417707_at",8.96670043523123,8.42378998972617,8.84506608365433,9.40766342580612,9.17921444288122,9.18327524778007,9.06422003956412,8.92632898956225,9.19037776504861
"1415673_at",6.33229767417492,6.26429390802561,6.91921295836087,6.70910565638887,6.40206320513532,6.45796221283343,6.65873765484386,6.71148534246729,6.23253891370577
"1438676_at",7.91159995556192,7.74473775199913,8.61132466592087,8.24696090479105,8.8054345370897,8.81239144181268,8.11939435685503,7.97166728397063,8.24696090479105
"1427052_at",8.26744248034115,9.51113630187956,9.63569662617342,7.80751062023026,8.62603542997102,8.45295286781724,8.65590583161756,9.12861142492604,8.39754808370717
"1433568_at",4.84338028791573,4.69262105016583,5.04678818801715,4.69906702774787,4.91400465935933,5.09533954425386,4.62029110797515,4.92408208134406,5.14821196929902
"1427927_at",6.32503199048579,6.29041813904917,6.18222981777862,6.44979229221691,6.45796221283343,6.24707819610275,5.93386217319357,6.01295041433657,6.25182527475968
"1452170_at",5.66989857376023,5.68058575799692,5.54301216982306,5.51451510507846,5.66397970465358,5.93186567210996,5.8334356921983,5.31545973158558,5.8875808438509
"1437082_at",6.08515026248957,5.86122592171849,5.90866940921872,5.56849100626784,6.05778504199837,6.03071806485858,5.5406714386723,5.59561490165107,5.8192774240694
"1423821_at",5.87166675651366,6.00963827507058,5.93228714246963,5.71908613265486,5.97449570998453,6.13038547144946,5.80217674010491,6.14607691629105,6.26231669948534
"1454725_at",7.42737686674133,7.21182746833638,7.96128987497268,7.29409795942715,7.42737686674133,7.18989556200913,7.61630067336718,7.31506331930093,7.57725279237008
"1416968_a_at",12.637853448653,11.8624009285814,12.1967143636431,12.5074427207554,12.6820282242352,12.5205966855142,12.5340334672715,12.2855465452261,12.5543319660868
"1434333_a_at",4.66207798752968,4.32538648250036,4.61656402374247,4.33154087373605,4.77390192004866,4.74876112059143,4.32214682973154,4.67125651649219,4.32140167068825
"1417166_at",6.3632106608638,6.49904482930396,5.9750800324248,6.32431807687091,6.65043814232944,6.68181530632457,6.3514139279314,7.13539853930504,6.56064919908658
"1415866_at",5.94710389317848,5.67931369348648,6.36106481289973,6.23103679288249,6.09200879092,6.16251291146797,6.39480837101636,5.65890372936376,5.92944545392942
"1449375_at",11.2213253745778,11.6358127821261,11.5939739654232,10.1259201881271,10.2481057163422,10.6680725522964,11.4078043623098,10.9730426819447,11.2490603531818
"1438199_at",7.88107903645467,7.34515327670376,7.57759142393448,7.66644188562286,7.60307432474792,7.68261026806173,7.4863282100197,7.29799833072245,7.63355532663624
"1417619_at",8.59999257820975,8.72312830942237,8.97375826927081,8.98716727551366,8.50258239247564,8.60980985944703,8.96926012977362,8.78364526997254,8.64570962287603
"1418553_at",7.65535897564847,7.70731386968784,7.59891681699412,6.94928905962195,7.5677762655572,7.29277535684739,7.73128523237304,7.71036013120913,7.59891681699412
"1417070_at",9.38085262000816,9.05273111569655,9.16037491064518,8.84856707029837,9.4507974220525,9.37701616860173,9.44199510546271,9.48332997740386,9.68517584326439
"1419809_s_at",7.74678775772231,7.47668318056217,7.84003916634763,7.91891891999979,8.05769976504454,7.84003916634763,7.92256540579385,7.58525425541361,7.73132060567403
"1460406_at",5.5513573868109,5.70719264455498,5.70719264455498,5.6702512946336,5.99304399804367,6.24513180406695,5.40339181022714,5.32364531189218,6.15506066808838
"1433545_s_at",11.2816088809603,11.0362545353785,11.0500749269551,10.8355411081191,11.2527165560089,11.1159308764348,11.0828072978446,10.9427565116408,11.2935707566561
"1424086_at",10.9520207607417,10.834481584227,10.7607637519373,11.2740023517306,11.3462073611132,11.439808832708,10.8758916532748,10.9741308087202,10.7909542442046
"1423725_at",10.0398232640425,9.99157284010693,10.0434132667172,9.70850520205775,9.96143369411541,10.1587225598981,9.71320236027726,9.97842347186098,9.97677780186201
"1454142_a_at",5.04682743450395,5.07781209849481,4.81086371876939,4.6889807646489,4.83292737982582,4.73899985614631,5.0716654841805,4.24033270048417,5.08769729477209
"1423891_at",9.22080587561893,9.09314651889914,9.43288881414649,9.05184798212648,9.30661712193361,9.70421788778217,8.87761029439723,9.03096163585771,9.52536163552325
"1427963_s_at",9.8018164896978,9.05833902242517,8.60745519320673,10.7443225756642,10.7285256791137,11.2709350154263,9.866173877362,10.3033861707152,10.5646992893132
