"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1415670_at","Copg1","54161","coatomer protein complex, subunit gamma 1",0.315433266379483,7.9771883819303,1.55759618109974,0.145123084892558,0.534170602869548,-5.16931985906588
"2","1415673_at","Psph","100678","phosphoserine phosphatase",-0.0177755112654063,6.52085528065955,-0.0845920038716681,0.933971185578753,0.986483828754106,-6.32136013965733
"3","1415677_at","Dhrs1","52585","dehydrogenase/reductase (SDR family) member 1",-0.191539775063241,9.60982363280675,-1.04779990721029,0.315238248776866,0.722812068324758,-5.774863924424
"4","1415688_at","Ube2g1","67128","ubiquitin-conjugating enzyme E2G 1",-0.282433614098039,9.84965382497345,-1.77595339056511,0.100907283322081,0.467781855803834,-4.86140386773463
"5","1415698_at","Golm1","105348","golgi membrane protein 1",0.52225725392338,6.11571781791015,3.39730944197691,0.00524755845366506,0.12776978817736,-2.13257375057482
"6","1415725_at","Rrn3","106298","RRN3 RNA polymerase I transcription factor homolog (yeast)",0.0947469459405408,6.11428083562547,0.486297026630219,0.635457043628777,0.890464812330073,-6.20234251208466
"7","1415757_at","Gbf1","107338","golgi-specific brefeldin A-resistance factor 1",0.0972620071570738,7.61909854081831,0.438138113593922,0.669016533955376,0.902769298831351,-6.22526768854463
"8","1415765_at","Hnrnpul2","68693","heterogeneous nuclear ribonucleoprotein U-like 2",-0.225412633119041,6.43841065539038,-1.27811056710581,0.225217763960557,0.634115900926962,-5.52335490698928
"9","1415773_at","Ncl","17975","nucleolin",0.155106754002566,7.07543161035154,0.428824989093283,0.675596422170643,0.904995093791915,-6.22943460231511
"10","1415776_at","Aldh3a2","11671","aldehyde dehydrogenase family 3, subfamily A2",-0.175329737254772,10.2043086275325,-0.753065122582136,0.465830832330086,0.805550853303312,-6.03472036853394
"11","1415777_at","Pnliprp1","18946","pancreatic lipase related protein 1",1.41830369199828,3.89784451331053,1.81892640925317,0.0937779232810243,0.460787615925318,-4.79802248844215
"12","1415779_s_at","Actg1","11465","actin, gamma, cytoplasmic 1",-0.0652707500844709,11.329413713464,-0.264649533832784,0.795739855374563,0.943566019605547,-6.28849444396406
"13","1415780_a_at","Armcx2","67416","armadillo repeat containing, X-linked 2",-0.0434647874981922,5.63069124059997,-0.238235720021557,0.815690501519539,0.949236105130179,-6.29542214366759
"14","1415802_at","Slc16a1","20501","solute carrier family 16 (monocarboxylic acid transporters), member 1",0.263297250168037,9.95123937852057,1.4904692291515,0.161736773456463,0.55743441893093,-5.25876408274087
"15","1415822_at","Scd2","20250","stearoyl-Coenzyme A desaturase 2",0.544332991388454,5.38524334263722,2.50723406343246,0.0274287171946344,0.291138802118211,-3.69112545502486
"16","1415826_at","Atp6v1h","108664","ATPase, H+ transporting, lysosomal V1 subunit H",-0.521568194352248,9.48891092611331,-2.92278695160066,0.0126927679640415,0.205743022463259,-2.97089218520677
"17","1415828_a_at","Serp1","28146","stress-associated endoplasmic reticulum protein 1",-0.012021130054455,9.30912975269703,-0.070976675263198,0.944577559583655,0.98967352049281,-6.32247022829038
"18","1415834_at","Dusp6","67603","dual specificity phosphatase 6",-0.0695523715897934,10.0033112852888,-0.295852056970585,0.772365983535858,0.938410757296877,-6.27938507109747
"19","1415837_at","Klk1","16612","kallikrein 1",0.986345435800009,3.22986717954172,1.71252781506578,0.112319117574916,0.479385668703454,-4.95335513724734
"20","1415849_s_at","Stmn1","16765","stathmin 1",-0.645912190770595,7.45303856020839,-2.55007197826439,0.0253477988643122,0.285097726378,-3.61805315503109
"21","1415850_at","Rasa3","19414","RAS p21 protein activator 3",-0.320716230567804,6.30628138120277,-1.85810248094824,0.0876784027331063,0.448715214428234,-4.73951397127793
"22","1415853_at","Def8","23854","differentially expressed in FDCP 8",-0.118189481861743,7.7048998204271,-0.628791584390872,0.541190366090529,0.846310211392412,-6.12121261712858
"23","1415855_at","Kitl","17311","kit ligand",0.179626838601151,6.18253642868705,0.962768385565831,0.354536319545589,0.745152344300888,-5.85736361187443
"24","1415859_at","Eif3c","56347","eukaryotic translation initiation factor 3, subunit C",0.0935174542723942,8.34815012852245,0.464543204961528,0.650517635567443,0.89680869283661,-6.21298316195661
"25","1415860_at","Kpna2","16647","karyopherin (importin) alpha 2",-0.187842179718684,9.01908875375397,-1.18765666569539,0.257791228696354,0.666736802219479,-5.62681709135024
"26","1415864_at","Bpgm","12183","2,3-bisphosphoglycerate mutase",0.724752068627059,6.15270082750744,2.93131197930502,0.0124927469533332,0.20390171911772,-2.95591400839606
"27","1415866_at","Unc45a","101869","unc-45 myosin chaperone A",-0.166025365235253,6.05068871657163,-0.756809407602185,0.46366613801573,0.805550853303312,-6.03189364497901
"28","1415881_at","Ghitm","66092","growth hormone inducible transmembrane protein",-0.224953734918156,10.5418577216469,-1.39989539066688,0.18669330176285,0.595658000123512,-5.37516086642936
"29","1415899_at","Junb","16477","jun B proto-oncogene",-0.81000702387761,6.6842089777233,-2.67498554194076,0.0201206550265903,0.257271115931856,-3.40318833950695
"30","1415903_at","Slc38a1","105727","solute carrier family 38, member 1",-0.0883753103418883,4.69592973173985,-0.501380666942085,0.625112799448126,0.885336501683836,-6.19469008744641
"31","1415906_at","Tmsb4x","19241","thymosin, beta 4, X chromosome",-0.0360505836855687,11.748746004827,-0.200530069373778,0.844401709641088,0.956949320626048,-6.30406144590115
"32","1415909_at","Stip1","20867","stress-induced phosphoprotein 1",-0.122994020121954,7.85329750692031,-0.5016607126237,0.624921522386151,0.885336501683836,-6.19454589269379
"33","1415917_at","Mthfd1","108156","methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthase",0.164044468906093,10.2337345235634,0.897562614008961,0.386953711543195,0.776355352214626,-5.91658313854937
"34","1415926_at","Nup62","18226","nucleoporin 62",0.205726490047855,6.57853158426922,1.03161568471454,0.322459788312636,0.728311354907502,-5.7910161471698
"35","1415929_at","Map1lc3b","67443","microtubule-associated protein 1 light chain 3 beta",-0.0496583704036215,9.75620606781899,-0.23260490399837,0.819961547707258,0.949459931177603,-6.29680579995148
"36","1415935_at","Smoc2","64074","SPARC related modular calcium binding 2",0.122654813754582,5.84303401659392,0.540842475122949,0.598445415254749,0.872028133130294,-6.17361359834465
"37","1415941_s_at","Zfand2a","100494","zinc finger, AN1-type domain 2A",-0.0169855772469925,5.13851666089625,-0.0890026306055801,0.930538027753327,0.986483828754106,-6.32095891229638
"38","1415944_at","Sdc1","20969","syndecan 1",-0.00492055891398913,9.03586209851195,-0.021376321285338,0.983294411639921,0.995498741681942,-6.32487164352663
"39","1415945_at","Mcm5","17218","minichromosome maintenance complex component 5",-0.762881445996855,4.09406244028603,-3.53728909818478,0.00405011346302018,0.121355027110886,-1.885184578314
"40","1415965_at","Scd1","20249","stearoyl-Coenzyme A desaturase 1",0.63074064594289,9.28726112318129,1.30414514124871,0.216480777187282,0.626290709227118,-5.49251087106513
"41","1415977_at","Isyna1","71780","myo-inositol 1-phosphate synthase A1",0.747129889347089,5.80283556475097,2.4013750647455,0.0333061111089621,0.319143759241598,-3.87013105645061
"42","1415993_at","Sqle","20775","squalene epoxidase",0.126959578543261,9.83568131613396,0.471679236704528,0.645559011256503,0.894268843552277,-6.20954429180263
"43","1415995_at","Casp6","12368","caspase 6",-0.529901993499077,8.25240371373419,-2.51592814940233,0.0269933893444342,0.290313008578551,-3.6763229576629
"44","1415996_at","Txnip","56338","thioredoxin interacting protein",-0.295815113939804,8.49135971133246,-1.28847381379849,0.221706448951116,0.632767534422045,-5.51113305373284
"45","1415998_at","Vdac1","22333","voltage-dependent anion channel 1",0.191909309675875,10.4281969256541,1.0784878963425,0.301875547325375,0.709933778611577,-5.74366740257357
"46","1415999_at","Hey1","15213","hairy/enhancer-of-split related with YRPW motif 1",-0.120921447750892,4.52019214156004,-0.787320652970105,0.446263448868265,0.794792289409303,-6.00838738617617
"47","1416008_at","Satb1","20230","special AT-rich sequence binding protein 1",-0.28126666659402,3.37129800003722,-1.67340002210198,0.119918751064669,0.491583703170351,-5.00908926803618
"48","1416014_at","Abce1","24015","ATP-binding cassette, sub-family E (OABP), member 1",-0.125715653513689,8.37907088060146,-0.790885904119148,0.444257602041441,0.794792289409303,-6.00558607643637
"49","1416019_at","Dr1","13486","down-regulator of transcription 1",0.216331468385857,4.80694001088148,0.977679354724023,0.34740214328559,0.744602877045336,-5.84332265640538
"50","1416022_at","Fabp5","16592","fatty acid binding protein 5, epidermal",0.157140693244553,10.525509326745,0.303279426706948,0.766835320129586,0.935642794808751,-6.27706940947235
"51","1416028_a_at","Jpt1","15374","Jupiter microtubule associated homolog 1",0.042754061981336,6.15831782463035,0.205632357113523,0.840501851207669,0.956094483976056,-6.30297858823236
"52","1416029_at","Klf10","21847","Kruppel-like factor 10",-0.171581487358043,7.57139380804618,-0.810081164782865,0.43355823427931,0.794792289409303,-5.99030892605166
"53","1416039_x_at","Ccn1","16007","cellular communication network factor 1",-0.543654063749499,6.77370704256985,-2.23040348558894,0.0454334523751692,0.365598059534134,-4.15369230119601
"54","1416041_at","Sgk1","20393","serum/glucocorticoid regulated kinase 1",-0.826751069355044,8.71595963692616,-5.52959617390516,0.000126730776005029,0.0294015400331668,1.42604155718026
"55","1416044_at","Flii","14248","flightless I actin binding protein",0.142135016093139,8.50574755199339,0.79565606078383,0.441582957747859,0.794792289409303,-6.00182026574086
"56","1416050_a_at","Scarb1","20778","scavenger receptor class B, member 1",-0.251496843015808,9.88060790329303,-1.1316458549288,0.27974297651461,0.690021061052883,-5.68789633763065
"57","1416059_at","Sec23b","27054","SEC23 homolog B, COPII coat complex component",0.0812061573414606,8.8800000923805,0.375792404341149,0.713585786955694,0.918275506300723,-6.25150340154406
"58","1416060_at","Tbc1d15","66687","TBC1 domain family, member 15",-0.00796754171960323,9.17896359511358,-0.043808412672344,0.965772770068541,0.993622268394131,-6.32410497974251
"59","1416066_at","Cd9","12527","CD9 antigen",1.06013062216985,7.55240189286396,3.73348995931994,0.00282330099388745,0.104205473047119,-1.53983851098846
"60","1416088_a_at","Rps15","20054","ribosomal protein S15",0.167648030782749,11.3563509198086,0.986736048167292,0.343119534485199,0.740180224766508,-5.83470504157564
"61","1416093_a_at","Mrpl20","66448","mitochondrial ribosomal protein L20",-0.171041940046038,8.67656925476043,-0.876069656398511,0.398074136423977,0.778530234052723,-5.93531224227242
"62","1416104_at","Mpdu1","24070","mannose-P-dolichol utilization defect 1",-0.179970703180061,8.09786837152827,-0.865445897506731,0.40365037175734,0.782148562297634,-5.94442292432753
"63","1416106_at","Kti12","100087","KTI12 homolog, chromatin associated",0.194101457039623,7.90485606822578,1.29589890065432,0.219217941528766,0.630106083261444,-5.50233081800783
"64","1416108_a_at","Tmed3","66111","transmembrane p24 trafficking protein 3",-0.0469613337205654,8.37021888317944,-0.253168078487418,0.804394353420543,0.94668942297671,-6.29159419960057
"65","1416111_at","Cd83","12522","CD83 antigen",-0.198458045066244,5.2786822877527,-0.990430631738232,0.341383455149911,0.740180224766508,-5.83117027122019
"66","1416114_at","Sparcl1","13602","SPARC-like 1",0.476050126397904,5.97955909569587,2.24513425349275,0.0442417638098491,0.365598059534134,-4.1295654711487
"67","1416125_at","Fkbp5","14229","FK506 binding protein 5",-0.0174112673727738,8.43247325013461,-0.0784297528716039,0.938770084045541,0.988371226249568,-6.32188660730184
"68","1416129_at","Errfi1","74155","ERBB receptor feedback inhibitor 1",-0.0806207883634205,12.488924345207,-0.423399518248888,0.679442590965986,0.907751755187808,-6.23182209395987
"69","1416130_at","Prnp","19122","prion protein",0.124142284635663,6.75269048926201,0.600929107812975,0.558991646425316,0.856370392122307,-6.13861649492479
"70","1416132_at","Efr3a","76740","EFR3 homolog A",0.0607007603496266,5.0920372276457,0.248846471350184,0.807658987397926,0.94668942297671,-6.29272572658525
"71","1416147_at","Hspa4","15525","heat shock protein 4",0.103836782756801,7.79009631343561,0.377040615729564,0.712681861221499,0.918275506300723,-6.25101654945375
"72","1416149_at","Olig1","50914","oligodendrocyte transcription factor 1",-0.406364569705819,4.67047237395395,-1.75935899746107,0.103788193346828,0.469664715794429,-4.88564872564193
"73","1416151_at","Srsf3","20383","serine/arginine-rich splicing factor 3",0.301394782329179,6.87524698225704,0.957041753376695,0.357303800071367,0.748050615254392,-5.86270722432229
"74","1416162_at","Rad21","19357","RAD21 cohesin complex component",0.0238003481828368,5.48467619025522,0.0846974115751307,0.933889121535807,0.986483828754106,-6.3213507884013
"75","1416167_at","Prdx4","53381","peroxiredoxin 4",-0.115467940192868,11.1305162135692,-0.749119115194424,0.468118990680811,0.80585290009584,-6.03768560957068
"76","1416173_at","Pes1","64934","pescadillo ribosomal biogenesis factor 1",0.307402006066191,4.5378713769269,1.44546694235996,0.173759861664363,0.580032919512694,-5.31722993769135
"77","1416178_a_at","Plekhb1","27276","pleckstrin homology domain containing, family B (evectins) member 1",0.99707654139722,8.78557861947927,5.31285064173892,0.000180182639758124,0.0365770758708991,1.09251889692313
"78","1416179_a_at","Rdx","19684","radixin",-0.115934381625696,9.99313333560003,-0.664103868450692,0.519095831554029,0.835906425824237,-6.09809868881253
"79","1416190_a_at","Sec61a1","53421","Sec61 alpha 1 subunit (S. cerevisiae)",0.694647273293714,6.24224371683919,1.75122336331868,0.105227330695379,0.469664715794429,-4.89748722849958
"80","1416204_at","Gpd1","14555","glycerol-3-phosphate dehydrogenase 1 (soluble)",0.0683037936958568,7.24803736941001,0.289057110159464,0.777437187829441,0.940803273498519,-6.2814540090458
"81","1416205_at","Glb1","12091","galactosidase, beta 1",0.107910186500828,6.65503797008773,0.568841766558313,0.579883285170991,0.865810487814978,-6.15773913615589
"82","1416214_at","Mcm4","17217","minichromosome maintenance complex component 4",-0.379559762304545,6.32141835588137,-2.11122143553092,0.056254789735777,0.389585409513441,-4.34650231343622
"83","1416222_at","Nsdhl","18194","NAD(P) dependent steroid dehydrogenase-like",-0.167625771996271,9.56358901631077,-0.803110567678899,0.437424067476547,0.794792289409303,-5.99589463508855
"84","1416226_at","Arpc1b","11867","actin related protein 2/3 complex, subunit 1B",-0.233072548448501,8.08006488414793,-1.12995516742326,0.280427278506714,0.690021061052883,-5.68970344265436
"85","1416235_at","Lrrc59","98238","leucine rich repeat containing 59",0.151424062970592,6.90916221679081,0.538064945453412,0.600303272232127,0.872537269889221,-6.17514684441538
"86","1416242_at","Klhl13","67455","kelch-like 13",-0.0982223428691844,4.73487993762558,-0.596279515262607,0.561993261629759,0.858586130655436,-6.14144867835097
"87","1416255_at","Gja4","14612","gap junction protein, alpha 4",-0.059633396312738,5.73930834417829,-0.364352307626413,0.721891425272095,0.92104611906059,-6.25589203220859
"88","1416258_at","Tk1","21877","thymidine kinase 1",-0.222701356059395,7.9445024491494,-1.31786878569297,0.211987055710241,0.62480395367229,-5.47606562597189
"89","1416262_at","Tmem19","67226","transmembrane protein 19",-0.17493460993043,8.25359002507286,-0.684303659766213,0.506696566891211,0.829929626456204,-6.08435045715558
"90","1416274_at","Ctns","83429","cystinosis, nephropathic",-0.13366318347989,6.04124684757578,-0.726114829891482,0.481597546116187,0.814278412173543,-6.05468981295061
"91","1416275_at","Slc26a6","171429","solute carrier family 26, member 6",0.521955756851703,5.9835753430477,2.94494422031249,0.0121793976044441,0.201320212144757,-2.93195137074024
"92","1416281_at","Wdr45b","66840","WD repeat domain 45B",-0.0316073567529589,9.27903241725108,-0.177080461882739,0.862378862050707,0.960529088924495,-6.30869045784969
"93","1416286_at","Rgs4","19736","regulator of G-protein signaling 4",-0.302289376525845,3.41285370960908,-1.71043697807551,0.112714143687038,0.480379547380926,-4.9563528565863
