"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1415670_at","Copg1","54161","coatomer protein complex, subunit gamma 1",0.244162549865904,7.9771883819303,1.2056643853828,0.251026652081058,0.767765341382214,-5.32745688122938
"2","1415673_at","Psph","100678","phosphoserine phosphatase",-0.0289857901518378,6.52085528065955,-0.137940677831275,0.892559388155808,0.969177467724906,-6.01600324605168
"3","1415677_at","Dhrs1","52585","dehydrogenase/reductase (SDR family) member 1",-0.0356324577432119,9.60982363280675,-0.194923931098305,0.848691642495208,0.962478317410664,-6.00634598233035
"4","1415688_at","Ube2g1","67128","ubiquitin-conjugating enzyme E2G 1",-0.173759487241698,9.84965382497345,-1.09260631563009,0.295872425575219,0.792514220536962,-5.44624646463483
"5","1415698_at","Golm1","105348","golgi membrane protein 1",0.0304760077789341,6.11571781791015,0.198247948120074,0.846147416089928,0.962478317410664,-6.0056811675998
"6","1415725_at","Rrn3","106298","RRN3 RNA polymerase I transcription factor homolog (yeast)",-0.363193851888896,6.11428083562547,-1.86412436317246,0.0867734308701341,0.610118636049957,-4.47892935848395
"7","1415757_at","Gbf1","107338","golgi-specific brefeldin A-resistance factor 1",0.155162299677864,7.61909854081831,0.698962722124017,0.497809307115916,0.880176717208761,-5.78153530450696
"8","1415765_at","Hnrnpul2","68693","heterogeneous nuclear ribonucleoprotein U-like 2",-0.0507111707247736,6.43841065539038,-0.287537048286957,0.778573115888895,0.950321488315344,-5.98365939062726
"9","1415773_at","Ncl","17975","nucleolin",0.38936986619371,7.07543161035154,1.07649424873535,0.302730562323715,0.79282098936559,-5.46241216888251
"10","1415776_at","Aldh3a2","11671","aldehyde dehydrogenase family 3, subfamily A2",0.226482119211379,10.2043086275325,0.972771576214387,0.3497388325,0.80850656794306,-5.56171714025079
"11","1415777_at","Pnliprp1","18946","pancreatic lipase related protein 1",1.37573305899628,3.89784451331053,1.76433101542968,0.102917376158988,0.625154009014659,-4.6219347425114
"12","1415779_s_at","Actg1","11465","actin, gamma, cytoplasmic 1",0.222414870077309,11.329413713464,0.901812704883304,0.384780247667992,0.831763985823471,-5.62474156656603
"13","1415780_a_at","Armcx2","67416","armadillo repeat containing, X-linked 2",-0.0508082998202148,5.63069124059997,-0.278486392950696,0.78534755567667,0.953191317654195,-5.98625596648515
"14","1415802_at","Slc16a1","20501","solute carrier family 16 (monocarboxylic acid transporters), member 1",-0.20637421273619,9.95123937852057,-1.16824013003307,0.265243859483223,0.770905759421663,-5.36779760932518
"15","1415822_at","Scd2","20250","stearoyl-Coenzyme A desaturase 2",0.269830713391872,5.38524334263722,1.24285826264311,0.237497993780622,0.762305650423483,-5.28639551927916
"16","1415826_at","Atp6v1h","108664","ATPase, H+ transporting, lysosomal V1 subunit H",-0.36181892652127,9.48891092611331,-2.02757692805999,0.065246514807528,0.594369088160012,-4.2361454838014
"17","1415828_a_at","Serp1","28146","stress-associated endoplasmic reticulum protein 1",-0.261060477203847,9.30912975269703,-1.5413862615758,0.14899442264853,0.671770314683229,-4.92461588615109
"18","1415834_at","Dusp6","67603","dual specificity phosphatase 6",0.216345333366387,10.0033112852888,0.920259229547615,0.37544460623525,0.82199187340856,-5.60875174134899
"19","1415837_at","Klk1","16612","kallikrein 1",0.731337753113518,3.22986717954172,1.26977446131616,0.228074618819567,0.7508161049467,-5.25609096549212
"20","1415849_s_at","Stmn1","16765","stathmin 1",-1.01803574438277,7.45303856020839,-4.01922190309619,0.00167916804123846,0.1984929176714,-0.955075247933898
"21","1415850_at","Rasa3","19414","RAS p21 protein activator 3",0.0367277209674182,6.30628138120277,0.212785830415609,0.835041652380747,0.962478317410664,-6.00264241254672
"22","1415853_at","Def8","23854","differentially expressed in FDCP 8",0.164604912004927,7.7048998204271,0.875730917740841,0.398251123431786,0.836225880118229,-5.64686998085992
"23","1415855_at","Kitl","17311","kit ligand",-0.0246152296663036,6.18253642868705,-0.131933318599348,0.897208497040823,0.970407325470727,-6.01682942521201
"24","1415859_at","Eif3c","56347","eukaryotic translation initiation factor 3, subunit C",0.146191635836947,8.34815012852245,0.726199526908117,0.481547487047366,0.877702790484524,-5.76256758372343
"25","1415860_at","Kpna2","16647","karyopherin (importin) alpha 2",-0.363195686552217,9.01908875375397,-2.29635206922936,0.0403255246836936,0.560428047018292,-3.81798327078352
"26","1415864_at","Bpgm","12183","2,3-bisphosphoglycerate mutase",0.378754633789219,6.15270082750744,1.53190041574746,0.151300850249782,0.671770314683229,-4.93692569984122
"27","1415866_at","Unc45a","101869","unc-45 myosin chaperone A",0.00144161508505203,6.05068871657163,0.00657145284374255,0.994864028211362,0.997936492782738,-6.02568506946356
"28","1415881_at","Ghitm","66092","growth hormone inducible transmembrane protein",-0.123606034836531,10.5418577216469,-0.76920491446485,0.456545119584573,0.867638265645262,-5.73127826038131
"29","1415899_at","Junb","16477","jun B proto-oncogene",0.339044999850576,6.6842089777233,1.11966988672019,0.284617862834842,0.789758164925697,-5.41865710479593
"30","1415903_at","Slc38a1","105727","solute carrier family 38, member 1",0.196548399350324,4.69592973173985,1.1150802998194,0.286503173083838,0.79109817339762,-5.42337403432595
"31","1415906_at","Tmsb4x","19241","thymosin, beta 4, X chromosome",0.175066640313686,11.748746004827,0.973801862220357,0.349247362211341,0.807945464716834,-5.56077214946462
"32","1415909_at","Stip1","20867","stress-induced phosphoprotein 1",-0.0622796499409484,7.85329750692031,-0.254022541423979,0.803749327265454,0.959013995773413,-5.99286413550792
"33","1415917_at","Mthfd1","108156","methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthase",0.0449795365745036,10.2337345235634,0.246103697942013,0.809732903608153,0.961366607175385,-5.99487457885511
"34","1415926_at","Nup62","18226","nucleoporin 62",-0.0303363017949341,6.57853158426922,-0.15212141489707,0.881601713312637,0.963879753401043,-6.01390763541827
"35","1415929_at","Map1lc3b","67443","microtubule-associated protein 1 light chain 3 beta",0.0353534503240063,9.75620606781899,0.16559919006176,0.871210841593649,0.963879753401043,-6.01172678848965
"36","1415935_at","Smoc2","64074","SPARC related modular calcium binding 2",0.22843062548884,5.84303401659392,1.00725753112688,0.333556794549084,0.796612109334871,-5.52962911862102
"37","1415941_s_at","Zfand2a","100494","zinc finger, AN1-type domain 2A",-0.229709143993844,5.13851666089625,-1.20365165059245,0.251775736994449,0.767765341382214,-5.32965155776185
"38","1415944_at","Sdc1","20969","syndecan 1",0.166951511403985,9.03586209851195,0.725285320067656,0.482087985906524,0.877702790484524,-5.76321497488241
"39","1415945_at","Mcm5","17218","minichromosome maintenance complex component 5",-0.305877898683371,4.09406244028603,-1.41827876672834,0.18138232589512,0.700545180297485,-5.08040392943488
"40","1415965_at","Scd1","20249","stearoyl-Coenzyme A desaturase 1",0.348186556889656,9.28726112318129,0.719924757246226,0.485264746237262,0.879061692381068,-5.76699606275899
"41","1415977_at","Isyna1","71780","myo-inositol 1-phosphate synthase A1",0.33188257040147,5.80283556475097,1.06671482475718,0.306950966983697,0.79282098936559,-5.47212878518978
"42","1415993_at","Sqle","20775","squalene epoxidase",-0.0152790588038272,9.83568131613396,-0.0567646401858299,0.9556605755317,0.981956148599311,-6.02406267921739
"43","1415995_at","Casp6","12368","caspase 6",-0.1913763883614,8.25240371373419,-0.908638292583129,0.381307345422414,0.828973398883534,-5.61885760874692
"44","1415996_at","Txnip","56338","thioredoxin interacting protein",0.269854571812159,8.49135971133246,1.17539818937218,0.262477115105343,0.770905759421663,-5.3601584322304
